;DC;AREA;ZC_LOC;ID_ZONA_LOC;NVIV;NHOGAR;PERSONAN;P07;P08;P09;P10;P10COMUNA;P10PAIS;P11;P11COMUNA;P11PAIS;P12;P12COMUNA;P12PAIS;P12A_LLEGADA;P12A_TRAMO;P13;P14;P15;P15A;P16;P16A;P16A_OTRO;P17;P18;P19;P20;P21M;P21A;P10PAIS_GRUPO;P11PAIS_GRUPO;P12PAIS_GRUPO;ESCOLARIDAD;P16A_GRUPO;REGION_15R;PROVINCIA_15R;COMUNA_15R;P10COMUNA_15R;P11COMUNA_15R;P12COMUNA_15R;REGION_PROVINCIA_COMUNA
11907572;4.0;2.0;17.0;14910.0;73.0;1.0;1.0;1.0;1.0;62.0;1.0;98.0;;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;5.0;5.0;2.0;2.0;98.0;98.0;1.0;A;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;5.0;98.0;7.0;74.0;7405.0;98.0;98.0;98.0;7_74_7405
12079407;7.0;1.0;1.0;13504.0;1231.0;1.0;1.0;1.0;2.0;50.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;2.0;7.0;2.0;2.0;98.0;98.0;1.0;S;3.0;3.0;2.0;1999.0;998.0;998.0;998.0;10.0;98.0;7.0;74.0;7401.0;98.0;98.0;98.0;7_74_7401
12807054;13.0;1.0;6.0;2848.0;213.0;1.0;3.0;5.0;1.0;16.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;2.0;7.0;2.0;2.0;98.0;98.0;5.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;10.0;98.0;7.0;71.0;7101.0;98.0;98.0;98.0;7_71_7101
12634613;4.0;1.0;1.0;9956.0;740.0;1.0;1.0;1.0;1.0;83.0;1.0;98.0;998.0;99.0;99.0;999.0;2.0;16203.0;998.0;9998.0;98.0;3.0;98.0;98.0;98.0;2.0;98.0;98.0;7.0;98;98.0;98.0;98.0;9998.0;998.0;999.0;998.0;0.0;98.0;7.0;71.0;7102.0;98.0;99.0;8404.0;7_71_7102
11925589;2.0;1.0;2.0;75.0;1506.0;1.0;1.0;1.0;1.0;28.0;1.0;98.0;998.0;3.0;7405.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;3.0;11.0;1.0;2.0;98.0;98.0;1.0;D;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;15.0;98.0;7.0;74.0;7404.0;98.0;7405.0;98.0;7_74_7404
12436211;12.0;2.0;31.0;13273.0;31.0;1.0;7.0;11.0;1.0;27.0;1.0;98.0;998.0;3.0;13128.0;998.0;2.0;13126.0;998.0;9998.0;98.0;2.0;4.0;5.0;2.0;2.0;98.0;98.0;4.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;4.0;98.0;7.0;72.0;7201.0;98.0;13128.0;13126.0;7_72_7201
12582018;1.0;1.0;1.0;6720.0;128.0;1.0;1.0;1.0;2.0;70.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;997.0;998.0;9998.0;98.0;3.0;98.0;98.0;98.0;2.0;98.0;98.0;6.0;98;4.0;4.0;5.0;1981.0;998.0;998.0;998.0;0.0;98.0;7.0;71.0;7104.0;98.0;98.0;997.0;7_71_7104
12359306;10.0;1.0;7.0;14392.0;75.0;1.0;2.0;5.0;2.0;5.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;0.0;2.0;1.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;0.0;98.0;7.0;73.0;7301.0;98.0;98.0;98.0;7_73_7301
12245311;2.0;1.0;1.0;11762.0;195.0;1.0;3.0;5.0;2.0;22.0;1.0;98.0;998.0;3.0;7101.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;3.0;12.0;2.0;2.0;98.0;98.0;5.0;98;0.0;98.0;98.0;9998.0;998.0;998.0;998.0;15.0;98.0;7.0;73.0;7301.0;98.0;7101.0;98.0;7_73_7301
12151795;9.0;2.0;13.0;6018.0;61.0;1.0;4.0;5.0;2.0;26.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;99.0;12.0;2.0;99.0;99.0;99.0;5.0;98;99.0;99.0;99.0;9999.0;998.0;998.0;998.0;99.0;99.0;7.0;73.0;7307.0;98.0;98.0;98.0;7_73_7307
