;DC;AREA;ZC_LOC;ID_ZONA_LOC;NVIV;NHOGAR;PERSONAN;P07;P08;P09;P10;P10COMUNA;P10PAIS;P11;P11COMUNA;P11PAIS;P12;P12COMUNA;P12PAIS;P12A_LLEGADA;P12A_TRAMO;P13;P14;P15;P15A;P16;P16A;P16A_OTRO;P17;P18;P19;P20;P21M;P21A;P10PAIS_GRUPO;P11PAIS_GRUPO;P12PAIS_GRUPO;ESCOLARIDAD;P16A_GRUPO;REGION_15R;PROVINCIA_15R;COMUNA_15R;P10COMUNA_15R;P11COMUNA_15R;P12COMUNA_15R;REGION_PROVINCIA_COMUNA
11999983;2.0;2.0;20.0;9911.0;552.0;1.0;3.0;5.0;2.0;45.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;4.0;12.0;99.0;2.0;98.0;98.0;1.0;P;99.0;99.0;99.0;9999.0;998.0;998.0;998.0;16.0;98.0;7.0;74.0;7402.0;98.0;98.0;98.0;7_74_7402
12012011;1.0;1.0;2.0;10531.0;54.0;1.0;29.0;17.0;1.0;74.0;3.0;7201.0;998.0;3.0;7201.0;998.0;2.0;7201.0;998.0;9998.0;98.0;2.0;2.0;6.0;2.0;2.0;98.0;;7.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;2.0;98.0;7.0;74.0;7401.0;7201.0;7201.0;7201.0;7_74_7401
12353685;10.0;1.0;5.0;13785.0;281.0;1.0;4.0;5.0;2.0;12.0;1.0;98.0;998.0;3.0;7309.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;6.0;5.0;2.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;6.0;98.0;7.0;73.0;7301.0;98.0;7309.0;98.0;7_73_7301
12683717;7.0;1.0;2.0;14872.0;1151.0;1.0;1.0;1.0;2.0;41.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13101.0;998.0;9998.0;98.0;1.0;2.0;11.0;1.0;99.0;99.0;99.0;1.0;Q;3.0;3.0;12.0;2015.0;998.0;998.0;998.0;14.0;99.0;7.0;71.0;7101.0;98.0;98.0;13101.0;7_71_7101
11923565;2.0;1.0;2.0;75.0;631.0;1.0;5.0;12.0;2.0;5.0;1.0;98.0;998.0;3.0;4102.0;998.0;2.0;4102.0;998.0;9998.0;98.0;1.0;0.0;2.0;1.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;0.0;98.0;7.0;74.0;7404.0;98.0;4102.0;4102.0;7_74_7404
12040622;4.0;1.0;1.0;2711.0;836.0;1.0;2.0;5.0;1.0;44.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;5.0;12.0;2.0;2.0;98.0;98.0;1.0;A;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;17.0;98.0;7.0;74.0;7401.0;98.0;98.0;98.0;7_74_7401
11818178;1.0;1.0;1.0;7739.0;535.0;1.0;2.0;4.0;2.0;28.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;7405.0;998.0;9998.0;98.0;1.0;2.0;7.0;2.0;2.0;98.0;98.0;5.0;98;2.0;2.0;2.0;2013.0;998.0;998.0;998.0;10.0;98.0;7.0;74.0;7408.0;98.0;98.0;7405.0;7_74_7408
12855312;15.0;2.0;8.0;1853.0;323.0;1.0;1.0;1.0;1.0;59.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;9201.0;998.0;9998.0;98.0;2.0;5.0;8.0;1.0;2.0;98.0;98.0;1.0;Z;98.0;98.0;98.0;9998.0;998.0;;998.0;12.0;98.0;7.0;71.0;7101.0;98.0;98.0;9201.0;7_71_7101
12618391;2.0;1.0;5.0;4805.0;67.0;1.0;1.0;1.0;2.0;84.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;997.0;;9998.0;98.0;2.0;4.0;6.0;2.0;2.0;98.0;98.0;7.0;98;1.0;1.0;7.0;1953.0;998.0;998.0;998.0;4.0;98.0;7.0;71.0;7102.0;98.0;98.0;997.0;7_71_7102
12670122;6.0;1.0;4.0;2544.0;346.0;1.0;4.0;5.0;2.0;49.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13101.0;998.0;9998.0;98.0;2.0;5.0;8.0;1.0;2.0;98.0;98.0;1.0;Q;;98.0;98.0;9998.0;998.0;998.0;998.0;12.0;98.0;7.0;71.0;7101.0;98.0;98.0;13101.0;7_71_7101
12691688;7.0;1.0;6.0;15025.0;779.0;1.0;1.0;1.0;2.0;46.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;5.0;8.0;1.0;2.0;98.0;98.0;1.0;T;2.0;2.0;11.0;2003.0;998.0;998.0;998.0;12.0;98.0;7.0;71.0;7101.0;98.0;98.0;98.0;7_71_7101
