DIAS ,T1,T2,P1,P2,R,S
677,26,11,1014.8,429.34,9.4,0
678,25,13,1016.5,528.58,8.8,0
679,26,10,1016.6,391,9.1,0
680,27,12,1016.6,451.82,9.3,0
681,27,14,1016.8,527.23,9.1,0
682,33,13,1014.5,399.65,7.1,0
683,30,15,1013.2,506.6,11.3,13
684,27,15,1014.8,563.78,8.7,0
685,23,12,1014.6,529.36,8.6,0
686,26,11,1014,429,8.8,0
687,23,12,1015.6,529.88,8.4,0
688,20,13,1017.2,661.18,6.7,0
689,29,14,1014.4,489.71,8.6,0
690,21,12,1015.9,580.51,11,9
691,25,12,1018.2,488.74,10.1,0
692,25,11,1017.7,447.79,10.7,11
693,31,11,1520,360.45,7.3,0
694,33,15,1012,460,9,0
695,29,14,1014.1,489.57,9.9,0
696,29,15,1014.4,524.69,9.8,0
697,30,15,1015.3,507.65,9.5,140
698,29,17,1015.4,595.23,10.8,5
699,23,13,1017.8,575.28,10.2,0
700,27,12,1016.7,451.87,8.7,0
701,29,12,1014.8,419.92,9.3,0
702,27,13,1014.9,488.66,9.5,0
703,26,12,1013.1,467.58,9.4,0
704,18,13,1020.1,736.74,4.2,0
705,26,11,1020.3,431.67,7.8,0
706,30,14,1017.1,474.65,6.9,0
707,30,15,1015.1,507.55,9.3,0
708,32,15,1015,475.78,7.4,17.9
709,36,16,1012.9,450.18,8.1,1.8
710,30,16,1013.9,540.75,8.9,0
711,28,15,1016.2,544.39,8,0
712,28,14,1016,508,100,4
713,30,14,1015,473.67,9.1,0
714,31,16,1012.4,522.53,9.9,0
715,29,15,1015,525,10.1,0
716,29,13,1853,454.78,10.1,0
717,28,15,1015.2,543.86,9.3,0
718,28,14,1016,508,9.9,0
719,28,13,1013.7,470.65,9.3,0
720,23,11,1015.1,485.48,9.9,0
721,21,11,1017.8,533.13,6.2,0
722,31,9,1013.9,294.36,5.1,0
723,31,14,1012.8,457.39,8.3,0
724,26,15,1014.3,585.17,9.1,0
725,28,15,1014.4,543.43,9,1.8
726,27,13,1016.5,489.43,8.7,5.6
