DIAS ,T1,T2,P1,P2,R,S
155,19,10,1017.3,169,4.3,0
156,20,6,1017.5,305.25,5.4,0
157,18,6,1019.3,339.77,6.8,0
158,21,8,1017.2,387.5,2.8,0
159,20,6,1018.9,305.67,4.5,0
160,15,8,1019.5,543.73,5,0
161,15,6,1020.6,408.24,7,0
162,16,2,1021.7,127.71,2.3,0
163,16,2,1018.8,127.35,6,0
164,14,4,1022.9,292.26,5.1,0
165,14,0,1024.9,0,3.4,0
166,18,0,1018.2,0,2.5,0
167,17,1,1016.3,59.78,5.1,0
168,15,1,1021.2,68.08,4.8,0
169,23,2,1016.8,88.42,4.5,0
170,23,7,1015.7,309.13,4.6,0
171,22,4,1017.9,185.07,2.8,0
172,20,6,1015.9,304.77,3.7,0
173,21,6,1015.3,290.09,4.8,0
174,15,6,1014.8,405.92,3.7,0
175,16,3,1016.5,190.59,4.2,0
176,19,4,1020.1,214.76,4.8,0
177,21,4,1016.7,193.66,4.2,0
178,22,5,1016,230.91,3.7,0
179,20,4,1017,203.4,4.5,0
180,19,2,1018.3,107.19,4.4,0
181,17,6,1017.9,359.26,4.8,0
182,18,9,1017,508.5,3.1,0
183,17,8,1019.3,479.67,3.7,0
184,19,3,1017.2,160.61,4.8,0
185,20,3,1014,152.1,5.3,0
186,14,6,1017.2,435.94,5.4,0
187,13,5,1020.1,392.35,3.4,0
188,20,4,1021.8,204.36,4.2,0
189,15,8,1020.1,544.05,2.6,0
190,16,11,1019.2,700.7,3.9,0.3
191,12,10,1019.1,849.25,2.9,0.3
192,15,10,1016.6,677.73,6.9,6.2
193,14,9,1013.2,651.34,11.6,23.1
194,9,6,1021,680.67,4.3,0
195,13,1,1022.9,78.68,3.6,0.3
196,13,4,1023.8,315.02,2.9,0
197,15,5,1024.7,341.57,5.1,0
198,19,6,1018.6,321.66,4.9,0
199,13,3,1019.2,235.2,5.4,0
200,9,6,1022.2,681.47,3.3,0
201,14,0,1025.9,0,5.1,0
202,16,1,1018.8,63.68,2.6,0
203,16,3,1020.7,191.38,4.5,0
204,20,2,1021.2,102.12,3.9,0
205,23,5,1017.2,221.13,4.2,0
206,21,9,1016.3,435.56,3.1,0
207,18,7,1012.6,393.79,5.1,0
208,15,5,1016.5,338.83,5.1,0
209,12,9,1017.7,763.28,2.8,0
210,23,5,1015.5,220.76,4.7,0
211,14,5,1016.7,363.11,5.9,5.1
212,14,4,1021.2,291.77,2.3,0
213,12,9,1018,763.5,3.7,0
214,11,9,1020.2,834.71,6,0.8
215,16,4,1016.6,254.15,3.7,0
216,24,10,1012.5,421.88,6.2,0
217,19,11,1012.5,586.18,10.8,22.3
218,12,10,1008.8,840.67,8,45.5
219,13,6,1006.8,464.68,4.8,7.4
220,16,8,1008.8,504.4,9.1,13.9
221,12,8,1019.7,679.8,5.7,7.7
222,11,7,1018.6,648.2,4.7,0.3
223,14,5,1020.6,364.5,5.1,0
224,10,7,1021.2,714.84,5.4,7.2
225,12,2,1018.2,169.7,3.6,0
226,14,7,1023.5,511.75,7,0
227,11,8,1020.8,742.4,4.5,0
228,17,4,1015.5,238.94,5,0
229,15,8,1022.2,545.17,4.6,0
230,20,3,1019.9,152.99,4.5,0
231,24,5,1014.1,211.27,5.9,0
232,22,13,1014.1,599.24,8.1,0
233,14,10,1015.5,725.36,7,0
234,15,5,1021.2,340.4,5.7,0
235,17,9,1017.8,538.84,3.7,0
236,23,7,1013.9,308.58,6.4,0
237,16,9,1017.2,572.18,7.9,0
238,17,9,1022.3,541.22,4.9,0
239,19,9,1018.5,482.45,5.9,0
240,25,10,1017.3,406.92,6.2,0
241,24,8,1016.8,338.93,5.6,0
242,25,8,1015.9,325.09,6.1,0
243,25,8,1017.7,325.66,6.7,0
244,27,9,1017.6,339.2,6.2,0
245,26,9,1020.7,353.32,7.3,0
246,26,9,1017.1,352.07,7,0
247,27,9,1015.4,338.47,6.5,0
248,26,9,1012,350.31,8,0
249,16,10,1014.9,634.31,4.6,2.6
250,12,10,1018.4,848.67,6.8,11.7
251,12,8,1019.5,679.67,5.1,0
252,11,9,1018.7,833.48,6.7,0.9
253,15,8,1022.2,545.17,6.2,0
254,20,3,1022.7,153.41,6.7,0
255,24,4,1020.5,170.08,5.9,0
256,26,6,1017,234.69,6.7,0
257,20,13,1012.8,658.32,6.5,0
258,15,6,1016.9,406.76,4.6,0
259,19,9,1018.6,482.49,8,0
260,17,6,1018.8,359.58,6.2,0
261,18,6,1015.9,338.63,5,0
262,22,12,1010.7,551.29,8.6,0
263,17,10,1015.7,597.47,8.4,0
264,19,10,1015.4,534.42,6.6,0
265,18,9,1014.6,507.3,9.6,0
266,10,7,1022.9,716.03,8,0.3
267,15,2,1018.5,135.8,5.6,9.3
268,17,8,1022.7,481.27,6.6,0
269,16,8,1022.2,511.1,4.1,0
270,23,11,1018.2,486.97,6.7,0
271,24,10,1015.5,423.13,5.7,0
272,25,12,1011.5,485.52,9.7,0
273,16,8,1016.2,508.1,7.9,0
274,23,7,1016.2,309.28,5.3,11.8
275,20,11,1012.8,557.04,5.3,0
276,14,10,1017.8,727,5.9,0
277,13,10,1019.5,784.23,5.1,0
278,13,8,1019.5,627.38,5.1,0
279,15,8,1019.9,543.95,8.6,0
280,15,4,1021,272.27,6.1,0
281,18,3,1020.2,170.03,7.7,0
282,21,5,1019.8,242.81,7.6,0
283,21,15,1014.6,724.71,10,0
284,21,10,1013,482.38,7,0
285,14,7,1016.4,508.2,10,0
286,16,3,1019.5,191.16,7.3,3
287,13,8,1019,627.08,4.7,7.3
288,23,6,1017,265.3,6.7,0.2
289,24,11,1013.3,464.43,6.1,0
290,14,10,1018.5,727.5,6.6,0
291,18,5,1016.8,282.44,7.7,0
292,20,10,1017,508.5,8.6,12.8
293,24,7,1015.5,296.19,7.4,0
294,23,10,1014.3,441,9.8,0
295,19,9,1016.7,481.59,7.6,0
296,21,9,1018.2,436.37,6.8,0
297,25,8,1017.6,325.63,7.1,0
298,24,14,1017,593.25,6.8,0
299,21,12,1019,582.29,5.9,0
300,22,-33,1020.5,603.02,8.4,0
301,23,13,1019.1,576.01,7.4,0
302,24,9,1015.4,380.78,8.3,0
303,23,8,1015.7,70,9.6,0
304,13,11,1017.3,860.79,4.7,100
305,20,11,1019,560.45,7.3,0
306,21,13,1021.7,632.48,6,0
307,27,9,1017.2,339.07,7.9,0
308,26,10,1016.8,391.08,8.7,0
309,22,14,1016.9,647.12,8.7,0
310,19,13,1015.5,694.82,8.8,0
311,21,12,1017.2,581.26,8.6,0
312,24,11,1016.5,465.9,8.2,0
313,21,13,1016.3,629.14,8.5,0
314,23,10,1019.6,443.3,7,0
315,28,10,1013.7,362.04,7.7,5.6
316,28,13,1012.7,470.18,8.8,0
317,19,17,1015,908.16,11.1,6
318,24,13,1014.1,549.3,9.7,0
319,19,11,1015.2,587.75,9.6,0
320,21,8,1020.5,388.76,9.1,0
321,27,7,1013.6,262.79,8.5,0
322,24,13,1014.3,549.41,9.4,0
323,25,12,1014.7,487.06,8.8,0
324,25,11,1013.1,445.76,10,0
325,22,9,1013.5,414.61,9.3,0
326,23,12,1015.5,529.83,10.4,0
327,23,10,1017,442.17,10.4,0
328,25,9,1018.6,366.7,9.9,0
329,27,11,1014.2,413.19,8.4,0
330,31,12,1012.1,391.78,8.8,0
331,27,14,1012.9,525.21,9.9,0
332,26,13,1012.4,506.2,8.2,0
333,21,13,1015.6,628.7,9.4,0
334,26,14,1016.7,547.45,7.1,0
335,28,14,1015.6,507.8,8.4,0
336,30,14,1015.4,473.85,9.5,0
337,28,16,1016.1,580.63,8.2,0
338,29,16,1012.8,558.79,9.4,0
339,28,14,1013.4,506.7,9.5,0
340,29,14,1016.4,490.68,9.4,0
341,31,13,1015.6,425.9,8.9,0
342,30,9,1012.8,303.84,9,0
343,25,16,1012.9,648.26,9,0
344,23,10,1015.2,441.39,10.1,0
345,28,12,1015,435,8.1,0
346,30,13,1013.2,439.05,9,0
347,24,13,1014.6,549.58,8.4,0
348,20,20,1015,1015,5.6,0
349,24,22,1014,929.5,12.1,1
350,25,11,1014.1,446.2,9.1,0
351,27,11,1013.2,412.79,10.6,0
352,29,14,1015.4,490.19,8.6,0
353,33,13,1012.6,398.9,9,0
354,33,15,1013.5,460.68,9.1,0
355,34,15,1011.4,446.21,8.9,0
356,33,16,1009.6,489.5,9.3,0
357,32,16,1010.7,505.35,8.7,0
358,29,15,1015.1,525.05,8.6,0
359,30,15,1015,507.5,8.9,0
360,31,15,1011.5,489.44,9.7,0
361,29,16,1010.8,557.68,10.5,0
362,28,14,1013.4,506.7,8.1,0
363,26,14,1013.8,545.89,8,0
364,27,17,1015.9,639.64,5.6,0
365,29,18,1015.6,630.37,6.3,0
366,29,18,1016.4,630.87,8.1,0
367,26,17,1015.2,663.78,8.7,0
368,23,16,1016.2,706.92,7.1,0
369,30,14,1014.6,473.48,8.6,0
370,31,14,1014.7,458.25,9.7,0
371,26,14,1015.1,546.59,10.9,20
372,24,13,1018.8,551.85,134,15
373,31,12,1016,393.29,8.8,0
374,28,14,1016.6,508.3,9.2,0
375,32,13,1015.9,412.71,9.4,0
376,32,16,1014.1,507.05,9.5,0
377,34,16,1014,477.18,8.3,0
378,31,17,1013.8,555.95,10,0
379,30,17,1014,574.6,8.5,0
380,32,18,1014.6,570.71,9.3,0
381,28,17,1015.7,616.68,9.8,0
382,30,16,1014.6,541.12,8.2,0
383,26,16,1014.3,624.18,8.9,0
384,24,13,1015.9,550.28,9.2,0
385,22,15,1016,692.73,4.1,0
386,28,13,1017.7,472.5,8,0
387,25,16,1016,650.24,6.9,0
388,29,18,1014.3,629.57,6.4,6.3
389,25,14,1016.3,569.13,6.5,1
390,32,14,1014.6,443.89,7.4,0
391,30,16,1015.4,541.55,10.1,0
392,30,17,1013.9,574.54,9,0
393,27,16,1014.3,601.07,9.4,0
394,29,15,1013.5,524.22,9.3,0
395,28,17,1014.9,616.19,9.3,0
396,31,14,1015.2,458.48,8.1,0
397,30,14,1014.5,473.43,8.4,0
398,28,14,1013.8,506.9,9,0
399,29,14,1015,490,8.5,0
400,31,16,1014.3,523.51,8.6,0
401,29,14,1015.7,490.34,9.1,0
402,55,14,1014.5,489.76,7.9,0
403,28,14,1014.9,507.45,8.5,0
404,31,14,1015.4,458.57,8.1,0
405,31,15,1013.3,490.31,8.2,0
406,33,15,1008.9,458.59,9.3,0
407,26,14,1011,544.38,9,0
408,29,13,1012.4,453.83,9.1,0
409,28,14,1016.6,508.3,8,0
410,31,16,1015.2,523.97,9,0
411,34,15,1008.9,445.1,8.3,0
412,32,15,1009.9,473.39,7.8,0
413,32,-35,1012.2,474.47,7.6,0
414,33,17,1013,521.85,5.8,0
415,32,17,1016.1,539.8,6.8,0
416,31,16,1013.5,523.1,9,0
417,28,12,1014.6,434.83,7.8,0
418,30,13,1015.4,440.01,8.5,0
419,32,13,1015.2,412.43,8.1,0
420,32,14,1015.9,444.46,8.4,0
421,34,14,1013.8,417.45,7.6,0
422,32,14,1013.7,443.49,7.7,0
423,27,15,1014.5,563.61,7.1,0
424,31,14,1014.5,458.16,8,0
425,28,14,1014.7,507.35,7.8,0
