;DC;AREA;ZC_LOC;ID_ZONA_LOC;NVIV;NHOGAR;PERSONAN;P07;P08;P09;P10;P10COMUNA;P10PAIS;P11;P11COMUNA;P11PAIS;P12;P12COMUNA;P12PAIS;P12A_LLEGADA;P12A_TRAMO;P13;P14;P15;P15A;P16;P16A;P16A_OTRO;P17;P18;P19;P20;P21M;P21A;P10PAIS_GRUPO;P11PAIS_GRUPO;P12PAIS_GRUPO;ESCOLARIDAD;P16A_GRUPO;REGION_15R;PROVINCIA_15R;COMUNA_15R;P10COMUNA_15R;P11COMUNA_15R;P12COMUNA_15R;REGION_PROVINCIA_COMUNA
7369323;3.0;1.0;6.0;2036.0;4.0;1.0;3.0;5.0;1.0;0.0;1.0;98.0;998.0;1.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;3.0;98.0;98.0;98.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;0.0;98.0;13.0;131.0;13101.0;98.0;98.0;98.0;13_131_13101
7828521;7.0;1.0;2.0;7792.0;1007.0;1.0;3.0;5.0;1.0;16.0;1.0;98.0;998.0;3.0;5804.0;998.0;2.0;5804.0;998.0;9998.0;98.0;1.0;2.0;7.0;2.0;2.0;98.0;98.0;5.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;10.0;98.0;12.0;121.0;12101.0;98.0;5804.0;5804.0;12_121_12101
3624205;6.0;1.0;20.0;1523.0;565.0;1.0;2.0;2.0;2.0;51.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13117.0;998.0;9998.0;98.0;2.0;4.0;7.0;1.0;2.0;98.0;98.0;1.0;G;3.0;3.0;4.0;1996.0;998.0;998.0;998.0;12.0;98.0;13.0;131.0;13124.0;98.0;98.0;13117.0;13_131_13124
16848209;2.0;1.0;1.0;6374.0;395.0;1.0;1.0;1.0;2.0;30.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;8.0;5.0;1.0;1.0;10.0;21.0;1.0;T;2.0;2.0;7.0;2014.0;998.0;998.0;998.0;8.0;10.0;2.0;21.0;2104.0;98.0;98.0;98.0;2_21_2104
8502445;5.0;2.0;43.0;9940.0;301.0;1.0;2.0;2.0;2.0;55.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;4.0;5.0;2.0;2.0;98.0;98.0;6.0;98;6.0;6.0;1.0;1992.0;998.0;998.0;998.0;4.0;98.0;10.0;101.0;10106.0;98.0;98.0;98.0;10_101_10106
1296758;2.0;1.0;1.0;4208.0;58.0;1.0;5.0;5.0;1.0;14.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;7.0;5.0;2.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;7.0;98.0;13.0;134.0;13401.0;98.0;98.0;98.0;13_134_13401
12933058;5.0;2.0;19.0;2594.0;64.0;1.0;1.0;1.0;2.0;44.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13108.0;998.0;9998.0;98.0;2.0;8.0;5.0;1.0;2.0;98.0;98.0;1.0;O;2.0;2.0;2.0;1997.0;998.0;998.0;998.0;8.0;98.0;6.0;63.0;6306.0;98.0;98.0;13108.0;6_63_6306
4914293;99.0;1.0;999.0;11644.0;262.0;1.0;52.0;19.0;2.0;36.0;2.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;2.0;5.0;2.0;2.0;98.0;98.0;1.0;G;7.0;7.0;4.0;2004.0;998.0;998.0;998.0;2.0;98.0;13.0;131.0;13119.0;98.0;98.0;98.0;13_131_13119
5335150;1.0;1.0;1.0;12544.0;1828.0;1.0;4.0;5.0;1.0;1.0;1.0;98.0;998.0;1.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;3.0;98.0;98.0;98.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;0.0;98.0;13.0;131.0;13114.0;98.0;98.0;98.0;13_131_13114
5790382;5.0;1.0;1.0;38.0;83.0;1.0;2.0;2.0;1.0;37.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13401.0;998.0;9998.0;98.0;2.0;1.0;8.0;2.0;1.0;1.0;98.0;1.0;F;98.0;98.0;98.0;9998.0;169660000.0;998.0;998.0;9.0;1.0;13.0;131.0;13112.0;98.0;98.0;13401.0;13_131_13112
341803;5.0;2.0;11.0;6604.0;154.0;1.0;1.0;1.0;2.0;34.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;14204.0;998.0;9998.0;98.0;2.0;3.0;11.0;1.0;2.0;98.0;98.0;1.0;P;2.0;2.0;1.0;2011.0;998.0;998.0;998.0;15.0;98.0;14.0;141.0;14108.0;98.0;98.0;14204.0;14_141_14108
9542678;4.0;1.0;3.0;6825.0;287.0;1.0;3.0;8.0;2.0;59.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;9119.0;998.0;9998.0;98.0;2.0;4.0;7.0;1.0;2.0;98.0;98.0;1.0;I;4.0;3.0;10.0;1992.0;998.0;998.0;998.0;12.0;98.0;9.0;91.0;9101.0;98.0;98.0;9119.0;9_91_9101
11056081;13.0;1.0;1.0;4322.0;65.0;1.0;2.0;2.0;2.0;57.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;8111.0;998.0;9998.0;98.0;2.0;3.0;11.0;1.0;2.0;98.0;98.0;1.0;T;2.0;2.0;1.0;2003.0;998.0;998.0;998.0;15.0;98.0;8.0;81.0;8110.0;98.0;98.0;8111.0;8_81_8110
7620342;17.0;1.0;3.0;7151.0;547.0;1.0;1.0;1.0;2.0;81.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;4.0;5.0;2.0;2.0;98.0;98.0;6.0;98;3.0;2.0;6.0;1960.0;998.0;998.0;998.0;4.0;98.0;13.0;131.0;13101.0;98.0;98.0;98.0;13_131_13101
1973069;3.0;1.0;4.0;6403.0;471.0;1.0;4.0;5.0;2.0;0.0;1.0;98.0;998.0;1.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;3.0;98.0;98.0;98.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;0.0;98.0;13.0;132.0;13201.0;98.0;98.0;98.0;13_132_13201
3949100;5.0;1.0;1.0;5489.0;471.0;1.0;2.0;2.0;2.0;68.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;9102.0;998.0;9998.0;98.0;2.0;2.0;9.0;2.0;2.0;98.0;98.0;6.0;98;1.0;1.0;10.0;1971.0;998.0;998.0;998.0;8.0;98.0;13.0;131.0;13122.0;98.0;98.0;9102.0;13_131_13122
11447856;5.0;1.0;5.0;7353.0;903.0;1.0;4.0;11.0;2.0;24.0;3.0;8107.0;998.0;3.0;8107.0;998.0;2.0;8107.0;998.0;9998.0;98.0;2.0;2.0;11.0;1.0;2.0;98.0;98.0;1.0;N;0.0;98.0;98.0;9998.0;998.0;998.0;998.0;14.0;98.0;8.0;81.0;8103.0;8107.0;8107.0;8107.0;8_81_8103
9577268;6.0;1.0;4.0;13590.0;747.0;1.0;2.0;2.0;2.0;48.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;1.0;12.0;2.0;2.0;98.0;98.0;6.0;98;1.0;1.0;3.0;1992.0;998.0;998.0;998.0;13.0;98.0;9.0;91.0;9101.0;98.0;98.0;98.0;9_91_9101
11652531;14.0;1.0;1.0;14689.0;617.0;1.0;3.0;5.0;2.0;39.0;1.0;98.0;998.0;3.0;13101.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;4.0;12.0;1.0;2.0;98.0;98.0;1.0;P;1.0;1.0;5.0;2012.0;998.0;998.0;998.0;16.0;98.0;8.0;81.0;8101.0;98.0;13101.0;98.0;8_81_8101
11401110;2.0;1.0;1.0;11734.0;1271.0;1.0;1.0;1.0;2.0;52.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;8106.0;998.0;9998.0;98.0;2.0;4.0;12.0;1.0;2.0;98.0;98.0;1.0;P;1.0;1.0;8.0;1993.0;998.0;998.0;998.0;16.0;98.0;8.0;81.0;8103.0;98.0;98.0;8106.0;8_81_8103
6182310;10.0;1.0;2.0;2685.0;742.0;1.0;2.0;5.0;1.0;29.0;1.0;98.0;998.0;3.0;13118.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;3.0;11.0;1.0;2.0;98.0;98.0;1.0;I;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;15.0;98.0;13.0;131.0;13110.0;98.0;13118.0;98.0;13_131_13110
5853951;7.0;1.0;4.0;12790.0;291.0;1.0;3.0;5.0;1.0;3.0;1.0;98.0;998.0;1.0;98.0;998.0;2.0;13605.0;998.0;9998.0;98.0;1.0;0.0;1.0;2.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;0.0;98.0;13.0;131.0;13112.0;98.0;98.0;13605.0;13_131_13112
7758449;1.0;2.0;17.0;13824.0;30.0;1.0;1.0;1.0;1.0;57.0;1.0;98.0;998.0;3.0;12101.0;998.0;2.0;14107.0;998.0;9998.0;98.0;2.0;4.0;7.0;1.0;2.0;98.0;98.0;1.0;A;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;12.0;98.0;12.0;121.0;12102.0;98.0;12101.0;14107.0;12_121_12102
10159361;13.0;1.0;4.0;240.0;;1.0;1.0;1.0;1.0;50.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;4.0;12.0;1.0;2.0;98.0;98.0;1.0;L;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;16.0;98.0;8.0;84.0;8401.0;98.0;98.0;98.0;16_161_16101
11278852;1.0;1.0;3.0;14298.0;632.0;1.0;3.0;15.0;1.0;62.0;2.0;98.0;998.0;2.0;98.0;998.0;2.0;8110.0;998.0;9998.0;98.0;2.0;4.0;12.0;1.0;2.0;98.0;98.0;1.0;P;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;16.0;98.0;8.0;81.0;8107.0;98.0;98.0;8110.0;8_81_8107
4961480;3.0;1.0;1.0;8112.0;517.0;1.0;3.0;14.0;1.0;16.0;1.0;98.0;998.0;3.0;13201.0;998.0;2.0;13123.0;998.0;9998.0;98.0;1.0;2.0;7.0;2.0;2.0;98.0;98.0;5.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;10.0;98.0;13.0;131.0;13118.0;98.0;13201.0;13123.0;13_131_13118
