;DC;AREA;ZC_LOC;ID_ZONA_LOC;NVIV;NHOGAR;PERSONAN;P07;P08;P09;P10;P10COMUNA;P10PAIS;P11;P11COMUNA;P11PAIS;P12;P12COMUNA;P12PAIS;P12A_LLEGADA;P12A_TRAMO;P13;P14;P15;P15A;P16;P16A;P16A_OTRO;P17;P18;P19;P20;P21M;P21A;P10PAIS_GRUPO;P11PAIS_GRUPO;P12PAIS_GRUPO;ESCOLARIDAD;P16A_GRUPO;REGION_15R;PROVINCIA_15R;COMUNA_15R;P10COMUNA_15R;P11COMUNA_15R;P12COMUNA_15R;REGION_PROVINCIA_COMUNA
8466205;4.0;2.0;23.0;6003.0;7.0;140000.0;3.0;5.0;2.0;12.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;6.0;5.0;2.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;6.0;98.0;10.0;101.0;10108.0;98.0;98.0;98.0;10_101_10108
307017;9.0;1.0;3.0;15145.0;836.0;1.0;1.0;1.0;2.0;60.0;1.0;98.0;998.0;2.0;18620000.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;1.0;7.0;2.0;2.0;98.0;98.0;8.0;98;3.0;3.0;11.0;1986.0;998.0;998.0;998.0;9.0;98.0;14.0;142.0;14201.0;98.0;98.0;98.0;14_142_14201
16172012;5.0;1.0;2.0;8684.0;304.0;1.0;2.0;2.0;2.0;80.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;4104.0;998.0;9998.0;98.0;2.0;7.0;5.0;2.0;2.0;98.0;98.0;6.0;98;3.0;3.0;8.0;1969.0;998.0;998.0;998.0;7.0;98.0;4.0;41.0;4101.0;98.0;98.0;4104.0;4_41_4101
4050950;10.0;1.0;4.0;4733.0;783.0;1.0;1.0;1.0;2.0;37.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13118.0;998.0;9998.0;98.0;2.0;4.0;7.0;1.0;2.0;98.0;98.0;6.0;98;3.0;3.0;4.0;2003.0;998.0;998.0;998.0;12.0;98.0;13.0;131.0;13122.0;98.0;98.0;13118.0;13_131_13122
12570030;5.0;1.0;9.0;1246.0;570.0;1.0;2.0;2.0;2.0;56.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;7109.0;998.0;9998.0;98.0;2.0;4.0;7.0;1.0;2.0;98.0;98.0;8.0;98;2.0;2.0;10.0;1995.0;998.0;998.0;998.0;12.0;98.0;7.0;71.0;7105.0;98.0;98.0;7109.0;7_71_7105
4432925;2.0;1.0;6.0;9763.0;643.0;1.0;1.0;1.0;1.0;53.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13604.0;998.0;9998.0;98.0;2.0;5.0;8.0;1.0;2.0;98.0;98.0;1.0;G;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;12.0;98.0;13.0;131.0;13119.0;98.0;98.0;13604.0;13_131_13119
9596795;8.0;1.0;2.0;5576.0;828.0;1.0;2.0;7.0;1.0;46.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;8.0;5.0;1.0;2.0;98.0;98.0;1.0;F;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;8.0;98.0;9.0;91.0;9101.0;98.0;98.0;98.0;9_91_9101
13032130;1.0;1.0;7.0;11258.0;12.0;1.0;2.0;4.0;1.0;68.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;4.0;6.0;2.0;2.0;98.0;98.0;7.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;4.0;98.0;6.0;63.0;6301.0;98.0;98.0;98.0;6_63_6301
3024052;4.0;1.0;1.0;5916.0;1133.0;1.0;2.0;7.0;2.0;48.0;1.0;98.0;998.0;5.0;98.0;998.0;3.0;98.0;998.0;2012.0;1.0;2.0;4.0;7.0;1.0;2.0;98.0;98.0;1.0;T;1.0;1.0;5.0;1995.0;998.0;32.0;604.0;12.0;98.0;13.0;131.0;13127.0;98.0;98.0;98.0;13_131_13127
3986052;6.0;1.0;4.0;15289.0;212.0;1.0;4.0;11.0;1.0;21.0;1.0;98.0;998.0;99.0;99.0;999.0;2.0;13112.0;998.0;9998.0;98.0;2.0;3.0;11.0;1.0;2.0;98.0;98.0;1.0;Z;98.0;98.0;98.0;9998.0;998.0;999.0;998.0;15.0;98.0;13.0;131.0;13122.0;98.0;99.0;13112.0;13_131_13122
3926291;3.0;1.0;11.0;9164.0;300.0;1.0;1.0;1.0;1.0;52.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13109.0;;9998.0;98.0;2.0;4.0;12.0;1.0;2.0;98.0;98.0;1.0;C;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;16.0;98.0;13.0;131.0;13122.0;98.0;98.0;13109.0;13_131_13122
14628840;8.0;1.0;3.0;7974.0;447.0;1.0;3.0;5.0;1.0;2.0;1.0;98.0;998.0;1.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;0.0;1.0;2.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;;998.0;998.0;998.0;0.0;98.0;5.0;55.0;5501.0;98.0;98.0;98.0;5_55_5501
1027051;3.0;1.0;1.0;1921.0;21.0;1.0;1.0;1.0;2.0;28.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13128.0;998.0;9998.0;98.0;2.0;1.0;7.0;2.0;2.0;98.0;98.0;6.0;98;3.0;3.0;10.0;2015.0;998.0;998.0;998.0;9.0;98.0;13.0;135.0;13501.0;98.0;98.0;13128.0;13_135_13501
5611326;15.0;1.0;3.0;7900.0;1065.0;1.0;4.0;5.0;1.0;22.0;1.0;98.0;998.0;2.0;98.0;998.0;8.0;98.0;76.0;9999.0;99.0;1.0;4.0;12.0;1.0;2.0;98.0;98.0;5.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;5.0;16.0;98.0;13.0;131.0;13114.0;98.0;98.0;98.0;13_131_13114
10854276;2.0;1.0;4.0;976.0;348.0;1.0;3.0;5.0;1.0;7.0;1.0;98.0;998.0;3.0;8110.0;998.0;2.0;8110.0;998.0;9998.0;98.0;1.0;1.0;5.0;2.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;1.0;98.0;8.0;81.0;8112.0;98.0;8110.0;8110.0;8_81_8112
14027555;9.0;1.0;1.0;8316.0;284.0;1.0;1.0;1.0;1.0;33.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;7.0;12.0;1.0;2.0;98.0;98.0;1.0;M;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;17.0;98.0;5.0;58.0;5801.0;98.0;98.0;98.0;5_58_5801
