;DC;AREA;ZC_LOC;ID_ZONA_LOC;NVIV;NHOGAR;PERSONAN;P07;P08;P09;P10;P10COMUNA;P10PAIS;P11;P11COMUNA;P11PAIS;P12;P12COMUNA;P12PAIS;P12A_LLEGADA;P12A_TRAMO;P13;P14;P15;P15A;P16;P16A;P16A_OTRO;P17;P18;P19;P20;P21M;P21A;P10PAIS_GRUPO;P11PAIS_GRUPO;P12PAIS_GRUPO;ESCOLARIDAD;P16A_GRUPO;REGION_15R;PROVINCIA_15R;COMUNA_15R;P10COMUNA_15R;P11COMUNA_15R;P12COMUNA_15R;REGION_PROVINCIA_COMUNA
577768;8.0;1.0;10.0;14985.0;1954.0;1.0;2.0;5.0;1.0;16.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13122.0;998.0;9998.0;98.0;1.0;2.0;7.0;2.0;2.0;98.0;98.0;5.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;10.0;98.0;14.0;141.0;14101.0;98.0;98.0;13122.0;14_141_14101
3841831;1.0;1.0;1.0;12902.0;50.0;1.0;2.0;5.0;1.0;34.0;1.0;98.0;998.0;3.0;13113.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;3.0;11.0;1.0;2.0;98.0;98.0;1.0;Z;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;15.0;98.0;13.0;131.0;13122.0;98.0;13113.0;98.0;13_131_13122
15786371;13.0;2.0;26.0;12695.0;281.0;1.0;2.0;2.0;2.0;44.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;8.0;5.0;1.0;2.0;98.0;98.0;6.0;98;3.0;1.0;8.0;2000.0;998.0;998.0;998.0;8.0;98.0;4.0;42.0;4204.0;98.0;98.0;98.0;4_42_4204
10604185;20.0;1.0;2.0;13908.0;99.0;1.0;2.0;2.0;2.0;35.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;8304.0;998.0;9998.0;98.0;2.0;4.0;8.0;1.0;2.0;98.0;98.0;6.0;98;2.0;2.0;3.0;2013.0;998.0;998.0;998.0;12.0;98.0;8.0;83.0;8301.0;98.0;98.0;8304.0;8_83_8301
8580980;2.0;1.0;1.0;5308.0;460.0;1.0;4.0;5.0;2.0;3.0;1.0;98.0;998.0;1.0;;998.0;2.0;997.0;998.0;9998.0;98.0;1.0;0.0;1.0;2.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;0.0;98.0;10.0;101.0;10101.0;98.0;98.0;997.0;10_101_10101
8332634;;1.0;1.0;9143.0;504.0;1.0;2.0;5.0;2.0;43.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;3.0;7.0;2.0;1.0;1.0;98.0;1.0;G;2.0;2.0;12.0;2010.0;998.0;998.0;998.0;11.0;1.0;10.0;102.0;10202.0;98.0;98.0;98.0;10_102_10202
1812410;3.0;2.0;13.0;983.0;13.0;1.0;4.0;5.0;2.0;7.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;1.0;5.0;2.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;1.0;98.0;13.0;133.0;13301.0;98.0;98.0;98.0;13_133_13301
4588306;8.0;1.0;1.0;2946.0;842.0;1.0;2.0;5.0;1.0;51.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13126.0;998.0;9998.0;98.0;2.0;2.0;5.0;2.0;2.0;98.0;98.0;1.0;Z;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;2.0;98.0;13.0;131.0;13119.0;98.0;98.0;13126.0;13_131_13119
8722196;7.0;1.0;6.0;1537.0;138.0;1.0;4.0;5.0;1.0;13.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;11101.0;998.0;9998.0;98.0;1.0;7.0;5.0;2.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;7.0;98.0;10.0;101.0;10101.0;98.0;98.0;11101.0;10_101_10101
10090153;3.0;1.0;1.0;15957.0;495.0;1.0;1.0;1.0;1.0;67.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;8.0;12.0;1.0;2.0;98.0;98.0;1.0;O;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;17.0;98.0;8.0;84.0;8401.0;98.0;98.0;98.0;16_161_16101
