;DC;AREA;ZC_LOC;ID_ZONA_LOC;NVIV;NHOGAR;PERSONAN;P07;P08;P09;P10;P10COMUNA;P10PAIS;P11;P11COMUNA;P11PAIS;P12;P12COMUNA;P12PAIS;P12A_LLEGADA;P12A_TRAMO;P13;P14;P15;P15A;P16;P16A;P16A_OTRO;P17;P18;P19;P20;P21M;P21A;P10PAIS_GRUPO;P11PAIS_GRUPO;P12PAIS_GRUPO;ESCOLARIDAD;P16A_GRUPO;REGION_15R;PROVINCIA_15R;COMUNA_15R;P10COMUNA_15R;P11COMUNA_15R;P12COMUNA_15R;REGION_PROVINCIA_COMUNA
1744227;1.0;1.0;7.0;483.0;937.0;1.0;1.0;5.0;1.0;23.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;1.0;7.0;2.0;2.0;98.0;98.0;1.0;Z;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;9.0;98.0;13.0;133.0;13301.0;98.0;98.0;98.0;13_133_13301
14626373;8.0;1.0;2.0;15838.0;1557.0;1.0;1.0;1.0;2.0;54.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;5802.0;998.0;9998.0;98.0;2.0;4.0;7.0;1.0;2.0;98.0;98.0;4.0;98;1.0;1.0;12.0;1999.0;998.0;998.0;998.0;12.0;98.0;5.0;55.0;5501.0;98.0;98.0;5802.0;5_55_5501
15754034;22.0;2.0;37.0;1066.0;54.0;1.0;1.0;1.0;1.0;33.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;4202.0;998.0;9998.0;98.0;2.0;2.0;11.0;1.0;2.0;98.0;98.0;1.0;M;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;14.0;98.0;4.0;43.0;4301.0;98.0;98.0;4202.0;4_43_4301
1486359;9.0;1.0;1.0;4851.0;354.0;1.0;1.0;1.0;1.0;27.0;1.0;98.0;998.0;2.0;98.0;998.0;99.0;99.0;999.0;9999.0;99.0;2.0;2.0;11.0;1.0;2.0;98.0;98.0;1.0;N;98.0;98.0;98.0;9998.0;998.0;998.0;999.0;14.0;98.0;13.0;134.0;13401.0;98.0;98.0;99.0;13_134_13401
10271858;1.0;1.0;2.0;4548.0;63.0;1.0;3.0;5.0;1.0;24.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;8.0;5.0;1.0;2.0;98.0;98.0;1.0;Z;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;8.0;98.0;8.0;83.0;8313.0;98.0;98.0;98.0;8_83_8313
12512096;4.0;2.0;23.0;5603.0;98.0;1.0;1.0;1.0;2.0;52.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13101.0;998.0;9998.0;98.0;2.0;8.0;5.0;1.0;1.0;3.0;98.0;2.0;T;5.0;5.0;4.0;1988.0;998.0;998.0;998.0;8.0;3.0;7.0;71.0;7108.0;98.0;98.0;13101.0;7_71_7108
10511768;5.0;2.0;66.0;1090.0;3.0;1.0;2.0;2.0;2.0;52.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;8.0;5.0;1.0;2.0;98.0;98.0;6.0;98;2.0;2.0;9.0;1989.0;998.0;998.0;998.0;8.0;98.0;8.0;83.0;8301.0;98.0;98.0;98.0;8_83_8301
16182675;5.0;1.0;5.0;7377.0;883.0;1.0;1.0;1.0;1.0;31.0;1.0;98.0;998.0;3.0;2101.0;998.0;2.0;4201.0;998.0;9998.0;98.0;2.0;4.0;7.0;1.0;2.0;98.0;98.0;4.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;12.0;98.0;4.0;41.0;4101.0;98.0;2101.0;4201.0;4_41_4101
13152396;2.0;1.0;2.0;12299.0;50.0;1.0;1.0;1.0;2.0;41.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;;998.0;9998.0;98.0;99.0;8.0;5.0;1.0;2.0;98.0;98.0;1.0;G;2.0;2.0;3.0;2006.0;998.0;998.0;998.0;8.0;98.0;6.0;61.0;6117.0;98.0;98.0;98.0;6_61_6117
8279405;1.0;1.0;5.0;7644.0;1086.0;1.0;3.0;17.0;1.0;29.0;2.0;98.0;998.0;3.0;9101.0;998.0;2.0;9101.0;998.0;9998.0;98.0;2.0;2.0;11.0;2.0;2.0;98.0;98.0;1.0;K;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;14.0;98.0;10.0;102.0;10208.0;98.0;9101.0;9101.0;10_102_10208
