;DC;AREA;ZC_LOC;ID_ZONA_LOC;NVIV;NHOGAR;PERSONAN;P07;P08;P09;P10;P10COMUNA;P10PAIS;P11;P11COMUNA;P11PAIS;P12;P12COMUNA;P12PAIS;P12A_LLEGADA;P12A_TRAMO;P13;P14;P15;P15A;P16;P16A;P16A_OTRO;P17;P18;P19;P20;P21M;P21A;P10PAIS_GRUPO;P11PAIS_GRUPO;P12PAIS_GRUPO;ESCOLARIDAD;P16A_GRUPO;REGION_15R;PROVINCIA_15R;COMUNA_15R;P10COMUNA_15R;P11COMUNA_15R;P12COMUNA_15R;REGION_PROVINCIA_COMUNA
16850229;3.0;1.0;1.0;4552.0;112.0;1.0;2.0;2.0;2.0;35.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13101.0;998.0;9998.0;98.0;1.0;4.0;7.0;1.0;2.0;98.0;98.0;6.0;98;3.0;3.0;5.0;2011.0;998.0;998.0;998.0;12.0;98.0;2.0;21.0;2104.0;98.0;98.0;13101.0;2_21_2104
17074430;8.0;1.0;3.0;4866.0;1484.0;1.0;1.0;1.0;2.0;47.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;4102.0;998.0;9998.0;98.0;2.0;4.0;7.0;1.0;2.0;98.0;98.0;6.0;98;2.0;2.0;4.0;2008.0;998.0;998.0;998.0;12.0;98.0;2.0;21.0;2101.0;98.0;98.0;4102.0;2_21_2101
7343058;2.0;1.0;5.0;9445.0;721.0;1.0;1.0;1.0;1.0;58.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13118.0;998.0;9998.0;98.0;2.0;5.0;12.0;1.0;2.0;98.0;98.0;1.0;Q;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;17.0;98.0;13.0;131.0;13101.0;98.0;98.0;13118.0;13_131_13101
8437823;1.0;1.0;7.0;11992.0;895.0;1.0;1.0;1.0;1.0;42.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;4.0;8.0;1.0;1.0;1.0;98.0;1.0;Z;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;12.0;1.0;10.0;101.0;10109.0;98.0;98.0;98.0;10_101_10109
3717070;1.0;1.0;8.0;15147.0;238.0;1.0;2.0;2.0;2.0;56.0;1.0;98.0;998.0;3.0;13120.0;998.0;2.0;13101.0;998.0;9998.0;98.0;2.0;5.0;12.0;1.0;2.0;98.0;98.0;1.0;G;2.0;2.0;10.0;1996.0;998.0;998.0;998.0;17.0;98.0;13.0;131.0;13123.0;98.0;13120.0;13101.0;13_131_13123
16616012;24.0;1.0;1.0;12792.0;966.0;1.0;1.0;1.0;1.0;34.0;1.0;98.0;998.0;3.0;1101.0;998.0;2.0;5401.0;998.0;9998.0;98.0;2.0;4.0;12.0;99.0;2.0;98.0;98.0;1.0;G;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;16.0;98.0;3.0;31.0;3101.0;98.0;1101.0;5401.0;3_31_3101
6165734;9.0;1.0;2.0;15360.0;845.0;1.0;4.0;5.0;1.0;16.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;2.0;7.0;2.0;1.0;1.0;98.0;8.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;10.0;1.0;13.0;131.0;13110.0;98.0;98.0;98.0;13_131_13110
13443777;1.0;1.0;1.0;3479.0;1176.0;1.0;6.0;12.0;2.0;2.0;1.0;98.0;998.0;1.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;3.0;98.0;98.0;98.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;0.0;98.0;6.0;61.0;6106.0;98.0;98.0;98.0;6_61_6106
11716796;17.0;1.0;1.0;4916.0;85.0;2.0;1.0;1.0;2.0;21.0;2.0;98.0;998.0;3.0;8202.0;998.0;2.0;8106.0;998.0;9998.0;98.0;1.0;3.0;12.0;2.0;2.0;98.0;98.0;5.0;98;0.0;98.0;98.0;9998.0;998.0;998.0;998.0;15.0;98.0;8.0;81.0;8101.0;98.0;8202.0;8106.0;8_81_8101
4491395;5.0;1.0;7.0;14998.0;726.0;2.0;1.0;1.0;2.0;71.0;1.0;98.0;998.0;3.0;13131.0;998.0;2.0;13131.0;998.0;9998.0;98.0;2.0;6.0;5.0;2.0;2.0;98.0;98.0;7.0;98;7.0;6.0;3.0;1984.0;998.0;998.0;998.0;6.0;98.0;13.0;131.0;13119.0;98.0;13131.0;13131.0;13_131_13119
3632976;6.0;1.0;22.0;14445.0;636.0;1.0;1.0;1.0;1.0;58.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;16301.0;998.0;9998.0;;2.0;8.0;5.0;1.0;2.0;98.0;98.0;8.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;8.0;98.0;13.0;131.0;13124.0;98.0;98.0;8416.0;13_131_13124
10983528;6.0;1.0;2.0;11987.0;254.0;1.0;1.0;1.0;1.0;48.0;1.0;98.0;998.0;3.0;1101.0;998.0;2.0;11201.0;998.0;9998.0;98.0;2.0;5.0;8.0;1.0;1.0;1.0;98.0;1.0;Z;98.0;98.0;98.0;9998.0;998.0;998.0;;12.0;1.0;8.0;81.0;8110.0;98.0;1101.0;11201.0;8_81_8110
15122649;17.0;1.0;13.0;8412.0;642.0;1.0;4.0;5.0;1.0;18.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;4.0;7.0;1.0;2.0;98.0;98.0;1.0;F;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;12.0;98.0;5.0;51.0;5109.0;98.0;98.0;98.0;5_51_5109
9349263;2.0;1.0;1.0;1121.0;699.0;1.0;5.0;14.0;1.0;11.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;5.0;5.0;2.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;5.0;98.0;9.0;91.0;9109.0;98.0;98.0;98.0;9_91_9109
16140891;2.0;1.0;4.0;5078.0;792.0;1.0;4.0;5.0;1.0;11.0;1.0;98.0;998.0;3.0;13201.0;998.0;2.0;13201.0;998.0;9998.0;98.0;1.0;4.0;5.0;2.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;4.0;98.0;4.0;41.0;4101.0;98.0;13201.0;13201.0;4_41_4101
3140979;13.0;1.0;1.0;12546.0;790.0;1.0;1.0;1.0;1.0;68.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;14108.0;998.0;9998.0;98.0;2.0;1.0;7.0;2.0;1.0;1.0;98.0;1.0;F;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;9.0;1.0;13.0;131.0;13127.0;98.0;98.0;14108.0;13_131_13127
15518464;21.0;1.0;7.0;12536.0;1410.0;1.0;4.0;5.0;1.0;11.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;5.0;5.0;2.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;5.0;98.0;5.0;51.0;5101.0;98.0;98.0;98.0;5_51_5101
2226845;12.0;1.0;2.0;651.0;946.0;1.0;3.0;5.0;1.0;29.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13123.0;998.0;9998.0;98.0;1.0;4.0;8.0;1.0;2.0;98.0;98.0;1.0;M;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;12.0;98.0;13.0;132.0;13201.0;98.0;98.0;13123.0;13_132_13201
7179466;6.0;1.0;2.0;9467.0;550.0;1.0;3.0;5.0;2.0;49.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13101.0;998.0;9998.0;98.0;2.0;8.0;5.0;1.0;2.0;98.0;98.0;99.0;99;4.0;4.0;7.0;1999.0;998.0;998.0;998.0;8.0;98.0;13.0;131.0;13103.0;98.0;98.0;13101.0;13_131_13103
4089457;1.0;1.0;2.0;4909.0;810.0;1.0;1.0;1.0;2.0;63.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13108.0;998.0;9998.0;98.0;2.0;7.0;5.0;2.0;2.0;98.0;98.0;6.0;98;2.0;2.0;3.0;1984.0;998.0;998.0;998.0;7.0;98.0;13.0;131.0;13121.0;98.0;98.0;13108.0;13_131_13121
13615430;9.0;1.0;7.0;2779.0;694.0;1.0;2.0;2.0;2.0;64.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;5.0;8.0;1.0;2.0;98.0;98.0;6.0;98;3.0;3.0;8.0;1987.0;998.0;998.0;998.0;12.0;98.0;6.0;61.0;6101.0;98.0;98.0;98.0;6_61_6101
2929596;7.0;1.0;5.0;15206.0;619.0;1.0;2.0;4.0;1.0;35.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13114.0;998.0;9998.0;98.0;2.0;4.0;8.0;1.0;2.0;98.0;98.0;1.0;G;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;12.0;98.0;13.0;131.0;13128.0;98.0;98.0;13114.0;13_131_13128
5896741;1.0;1.0;1.0;7219.0;10.0;1.0;2.0;5.0;2.0;49.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;4.0;8.0;1.0;2.0;98.0;98.0;1.0;Z;1.0;1.0;7.0;1991.0;998.0;998.0;998.0;12.0;98.0;13.0;131.0;13111.0;98.0;98.0;98.0;13_131_13111
13608020;9.0;1.0;4.0;7912.0;49.0;1.0;1.0;1.0;2.0;38.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;7101.0;998.0;9998.0;98.0;2.0;3.0;11.0;1.0;2.0;98.0;98.0;1.0;A;4.0;4.0;7.0;2010.0;998.0;998.0;998.0;15.0;98.0;6.0;61.0;6101.0;98.0;98.0;7101.0;6_61_6101
12453635;1.0;1.0;1.0;158.0;1689.0;1.0;1.0;1.0;2.0;66.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;3.0;5.0;2.0;2.0;98.0;98.0;7.0;98;2.0;2.0;1.0;1975.0;998.0;998.0;998.0;3.0;98.0;7.0;71.0;7110.0;98.0;98.0;98.0;7_71_7110
1517485;11.0;1.0;1.0;1937.0;75.0;1.0;2.0;2.0;2.0;55.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;8.0;5.0;1.0;2.0;98.0;98.0;1.0;N;4.0;4.0;3.0;1997.0;998.0;998.0;998.0;8.0;98.0;13.0;134.0;13401.0;98.0;98.0;98.0;13_134_13401
2788000;3.0;1.0;3.0;3487.0;734.0;1.0;5.0;14.0;1.0;26.0;3.0;9120.0;998.0;3.0;9120.0;998.0;;9120.0;998.0;9998.0;98.0;2.0;3.0;11.0;1.0;1.0;1.0;98.0;8.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;15.0;1.0;13.0;131.0;13129.0;9120.0;9120.0;9120.0;13_131_13129
