;DC;AREA;ZC_LOC;ID_ZONA_LOC;NVIV;NHOGAR;PERSONAN;P07;P08;P09;P10;P10COMUNA;P10PAIS;P11;P11COMUNA;P11PAIS;P12;P12COMUNA;P12PAIS;P12A_LLEGADA;P12A_TRAMO;P13;P14;P15;P15A;P16;P16A;P16A_OTRO;P17;P18;P19;P20;P21M;P21A;P10PAIS_GRUPO;P11PAIS_GRUPO;P12PAIS_GRUPO;ESCOLARIDAD;P16A_GRUPO;REGION_15R;PROVINCIA_15R;COMUNA_15R;P10COMUNA_15R;P11COMUNA_15R;P12COMUNA_15R;REGION_PROVINCIA_COMUNA
17250189;2.0;2.0;3.0;14289.0;4.0;1.0;35.0;17.0;1.0;35.0;3.0;1401.0;998.0;3.0;1401.0;998.0;2.0;10304.0;998.0;9998.0;98.0;2.0;4.0;7.0;1.0;1.0;1.0;98.0;1.0;I;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;12.0;1.0;1.0;14.0;1405.0;1401.0;1401.0;10304.0;1_14_1405
4969105;3.0;1.0;2.0;10326.0;1475.0;1.0;1.0;1.0;2.0;33.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13130.0;998.0;9998.0;98.0;2.0;3.0;8.0;2.0;2.0;98.0;98.0;1.0;N;2.0;2.0;5.0;2014.0;998.0;998.0;998.0;11.0;98.0;13.0;131.0;13118.0;98.0;98.0;13130.0;13_131_13118
10937340;3.0;1.0;1.0;1675.0;1414.0;1.0;2.0;4.0;2.0;21.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;2.0;11.0;1.0;99.0;99.0;99.0;1.0;G;0.0;98.0;98.0;9998.0;998.0;998.0;998.0;14.0;99.0;8.0;81.0;8111.0;98.0;98.0;98.0;8_81_8111
1535620;11.0;1.0;5.0;12665.0;749.0;1.0;2.0;2.0;2.0;66.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;16203.0;998.0;9998.0;98.0;2.0;7.0;5.0;2.0;2.0;98.0;98.0;6.0;98;3.0;3.0;7.0;1982.0;998.0;998.0;998.0;7.0;98.0;13.0;134.0;13401.0;98.0;98.0;8404.0;13_134_13401
1123889;4.0;2.0;2.0;11854.0;15.0;1.0;1.0;1.0;2.0;67.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;6.0;6.0;1.0;2.0;98.0;98.0;6.0;98;4.0;4.0;10.0;1984.0;998.0;998.0;998.0;6.0;98.0;13.0;134.0;13404.0;98.0;98.0;98.0;13_134_13404
8359157;2.0;1.0;6.0;2890.0;865.0;1.0;2.0;2.0;2.0;54.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;9211.0;998.0;9998.0;98.0;2.0;8.0;5.0;1.0;2.0;98.0;98.0;;Z;4.0;3.0;7.0;1992.0;998.0;998.0;998.0;8.0;98.0;10.0;102.0;10202.0;98.0;98.0;9211.0;10_102_10202
12329384;9.0;1.0;1.0;12012.0;1779.0;1.0;4.0;5.0;2.0;16.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;997.0;998.0;9998.0;98.0;2.0;7.0;5.0;2.0;2.0;98.0;98.0;5.0;98;0.0;98.0;98.0;9998.0;998.0;998.0;998.0;7.0;98.0;7.0;73.0;7301.0;98.0;98.0;997.0;7_73_7301
4139385;5.0;1.0;1.0;7418.0;428.0;1.0;2.0;5.0;2.0;11.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;5.0;5.0;2.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;5.0;98.0;13.0;131.0;13121.0;98.0;98.0;98.0;13_131_13121
12386998;18.0;1.0;4.0;6718.0;540.0;1.0;2.0;2.0;2.0;66.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;7407.0;998.0;9998.0;98.0;2.0;2.0;5.0;2.0;2.0;98.0;98.0;1.0;N;2.0;2.0;8.0;1980.0;998.0;998.0;998.0;2.0;98.0;7.0;73.0;7301.0;98.0;98.0;7407.0;7_73_7301
3572955;6.0;1.0;7.0;6201.0;394.0;1.0;1.0;1.0;2.0;56.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;4.0;8.0;1.0;99.0;99.0;99.0;1.0;Z;1.0;1.0;5.0;1991.0;998.0;998.0;998.0;12.0;99.0;13.0;131.0;13124.0;98.0;98.0;98.0;13_131_13124
