;DC;AREA;ZC_LOC;ID_ZONA_LOC;NVIV;NHOGAR;PERSONAN;P07;P08;P09;P10;P10COMUNA;P10PAIS;P11;P11COMUNA;P11PAIS;P12;P12COMUNA;P12PAIS;P12A_LLEGADA;P12A_TRAMO;P13;P14;P15;P15A;P16;P16A;P16A_OTRO;P17;P18;P19;P20;P21M;P21A;P10PAIS_GRUPO;P11PAIS_GRUPO;P12PAIS_GRUPO;ESCOLARIDAD;P16A_GRUPO;REGION_15R;PROVINCIA_15R;COMUNA_15R;P10COMUNA_15R;P11COMUNA_15R;P12COMUNA_15R;REGION_PROVINCIA_COMUNA
3978418;6.0;1.0;2.0;3601.0;511.0;1.0;5.0;12.0;2.0;20.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;4.0;7.0;1.0;1.0;1.0;98.0;1.0;G;99.0;99.0;99.0;9999.0;998.0;998.0;998.0;12.0;1.0;13.0;131.0;13122.0;98.0;98.0;98.0;13_131_13122
9659423;10.0;1.0;9.0;7295.0;674.0;1.0;4.0;5.0;2.0;10.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;997.0;998.0;9998.0;98.0;1.0;4.0;5.0;2.0;;1.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;4.0;1.0;9.0;91.0;9101.0;98.0;98.0;997.0;9_91_9101
16234864;9.0;2.0;3.0;3061.0;233.0;1.0;2.0;2.0;2.0;69.0;1.0;98.0;998.0;3.0;2101.0;998.0;2.0;2101.0;998.0;9998.0;98.0;2.0;3.0;9.0;2.0;2.0;98.0;98.0;6.0;98;2.0;2.0;9.0;1972.0;998.0;998.0;998.0;9.0;98.0;4.0;41.0;4101.0;98.0;2101.0;2101.0;4_41_4101
11187574;2.0;1.0;10.0;2242.0;431.0;1.0;1.0;1.0;2.0;40.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;8112.0;998.0;9998.0;98.0;2.0;4.0;7.0;1.0;1.0;1.0;98.0;1.0;G;2.0;2.0;4.0;2007.0;998.0;998.0;998.0;12.0;1.0;8.0;81.0;8108.0;98.0;98.0;8112.0;8_81_8108
7475670;11.0;1.0;3.0;15469.0;121.0;1.0;1.0;1.0;1.0;69.0;1.0;98.0;998.0;3.0;13123.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;3.0;9.0;2.0;1.0;1.0;98.0;4.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;9.0;1.0;13.0;131.0;13101.0;98.0;13123.0;98.0;13_131_13101
13423740;1.0;2.0;21.0;8205.0;30.0;1.0;2.0;1.0;2.0;58.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;6.0;5.0;2.0;2.0;98.0;98.0;6.0;98;2.0;2.0;2.0;1990.0;998.0;998.0;998.0;6.0;98.0;6.0;61.0;6107.0;98.0;98.0;98.0;6_61_6107
4375732;11.0;1.0;2.0;2299.0;156.0;1.0;2.0;5.0;1.0;27.0;1.0;98.0;998.0;3.0;13114.0;998.0;2.0;5109.0;998.0;9998.0;98.0;1.0;5.0;12.0;2.0;2.0;98.0;98.0;2.0;I;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;17.0;98.0;13.0;131.0;13120.0;98.0;13114.0;5109.0;13_131_13120
15970278;5.0;1.0;8.0;15972.0;674.0;1.0;2.0;2.0;2.0;64.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;1101.0;998.0;9998.0;98.0;2.0;5.0;12.0;1.0;2.0;98.0;98.0;7.0;98;3.0;3.0;9.0;1984.0;998.0;998.0;998.0;17.0;98.0;4.0;41.0;4102.0;98.0;98.0;1101.0;4_41_4102
6579895;1.0;1.0;3.0;9837.0;760.0;1.0;2.0;2.0;1.0;74.0;1.0;98.0;998.0;3.0;5109.0;998.0;2.0;13101.0;998.0;9998.0;98.0;2.0;2.0;12.0;2.0;2.0;98.0;98.0;1.0;J;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;14.0;98.0;13.0;131.0;13107.0;98.0;5109.0;13101.0;13_131_13107
15764743;1.0;1.0;1.0;4693.0;713.0;1.0;4.0;5.0;2.0;16.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;1.0;1.0;7.0;2.0;2.0;98.0;98.0;5.0;98;0.0;98.0;98.0;9998.0;998.0;998.0;998.0;9.0;98.0;4.0;42.0;4204.0;98.0;98.0;98.0;4_42_4204
