;DC;AREA;ZC_LOC;ID_ZONA_LOC;NVIV;NHOGAR;PERSONAN;P07;P08;P09;P10;P10COMUNA;P10PAIS;P11;P11COMUNA;P11PAIS;P12;P12COMUNA;P12PAIS;P12A_LLEGADA;P12A_TRAMO;P13;P14;P15;P15A;P16;P16A;P16A_OTRO;P17;P18;P19;P20;P21M;P21A;P10PAIS_GRUPO;P11PAIS_GRUPO;P12PAIS_GRUPO;ESCOLARIDAD;P16A_GRUPO;REGION_15R;PROVINCIA_15R;COMUNA_15R;P10COMUNA_15R;P11COMUNA_15R;P12COMUNA_15R;REGION_PROVINCIA_COMUNA
11514170;4.0;1.0;2.0;6889.0;61.0;1.0;1.0;1.0;2.0;75.0;1.0;98.0;998.0;3.0;8110.0;998.0;2.0;8101.0;998.0;9998.0;98.0;2.0;3.0;9.0;2.0;2.0;98.0;98.0;7.0;98;5.0;5.0;4.0;1977.0;998.0;998.0;998.0;9.0;98.0;8.0;81.0;8102.0;98.0;8110.0;8101.0;8_81_8102
5092095;4.0;1.0;5.0;4245.0;336.0;1.0;5.0;9.0;1.0;35.0;1.0;98.0;998.0;2.0;98.0;998.0;3.0;98.0;998.0;2011.0;1.0;2.0;4.0;7.0;1.0;99.0;99.0;99.0;8.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;604.0;12.0;99.0;13.0;131.0;13117.0;98.0;98.0;98.0;13_131_13117
7853753;8.0;1.0;4.0;12640.0;390.0;1.0;2.0;4.0;1.0;47.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;10000.0;998.0;9998.0;98.0;2.0;1.0;7.0;2.0;1.0;1.0;98.0;1.0;H;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;9.0;1.0;12.0;121.0;12101.0;98.0;98.0;10000.0;12_121_12101
14658502;7.0;2.0;15.0;2434.0;125.0;1.0;2.0;5.0;2.0;13.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;7.0;5.0;2.0;2.0;98.0;98.0;98.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;7.0;98.0;5.0;54.0;5404.0;98.0;98.0;98.0;5_54_5404
6876005;5.0;1.0;5.0;10766.0;249.0;3.0;5.0;14.0;1.0;26.0;1.0;98.0;998.0;9.0;98.0;332.0;8.0;98.0;332.0;9999.0;1.0;2.0;3.0;5.0;2.0;2.0;98.0;98.0;1.0;G;98.0;98.0;98.0;9998.0;998.0;332.0;332.0;3.0;98.0;13.0;131.0;13105.0;98.0;98.0;98.0;13_131_13105
6802513;14.0;1.0;1.0;7318.0;673.0;1.0;4.0;8.0;1.0;94.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13301.0;998.0;9998.0;98.0;2.0;1.0;5.0;2.0;2.0;98.0;98.0;7.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;1.0;98.0;13.0;131.0;13106.0;98.0;98.0;13301.0;13_131_13106
3241428;8.0;1.0;3.0;1283.0;346.0;1.0;2.0;7.0;1.0;54.0;1.0;98.0;998.0;2.0;98.0;998.0;1.0;98.0;998.0;9998.0;98.0;2.0;5.0;12.0;1.0;2.0;98.0;98.0;6.0;98;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;17.0;98.0;13.0;131.0;13126.0;98.0;98.0;98.0;13_131_13126
3199598;5.0;1.0;1.0;3977.0;1836.0;1.0;4.0;12.0;2.0;16.0;1.0;98.0;998.0;3.0;13201.0;998.0;2.0;13117.0;998.0;9998.0;98.0;1.0;8.0;5.0;1.0;2.0;98.0;98.0;5.0;98;0.0;98.0;98.0;9998.0;998.0;998.0;998.0;8.0;98.0;13.0;131.0;13126.0;98.0;13201.0;13117.0;13_131_13126
963377;7.0;1.0;1.0;15477.0;262.0;1.0;2.0;5.0;2.0;16.0;1.0;98.0;998.0;99.0;99.0;999.0;2.0;13119.0;998.0;9998.0;98.0;1.0;2.0;7.0;2.0;2.0;98.0;98.0;5.0;98;0.0;98.0;98.0;9998.0;998.0;999.0;998.0;10.0;98.0;13.0;135.0;13503.0;98.0;99.0;13119.0;13_135_13503
17568928;11.0;1.0;13.0;4336.0;1057.0;1.0;2.0;4.0;1.0;58.0;1.0;98.0;998.0;2.0;98.0;998.0;2.0;13130.0;998.0;9998.0;98.0;2.0;5.0;12.0;1.0;2.0;98.0;98.0;1.0;O;98.0;98.0;98.0;9998.0;998.0;998.0;998.0;17.0;98.0;1.0;11.0;1101.0;98.0;98.0;13130.0;1_11_1101
